ticket_id,created_at,resolved_at,category,priority,channel,assigned_team,resolution_minutes,sla_minutes,sla_breached
TKT-100023,2024-10-06 13:33:00,2024-10-06 17:54:11,Printer,P3,Phone,Service Desk,261.2,1440,0
TKT-100024,2024-12-14 15:59:00,2024-12-14 19:13:06,Other,P3,Chat,Apps,194.1,1440,0
TKT-100025,2025-10-01 13:39:00,2025-10-01 15:22:31,Password Reset,P3,Portal,Service Desk,103.53,1440,0
TKT-100026,2024-05-23 15:56:00,2024-05-24 00:56:05,Access Request,P3,Phone,Service Desk,540.09,1440,0
TKT-100027,2024-01-09 10:18:00,2024-01-10 01:47:11,VPN,P4,Chat,Service Desk,929.19,2880,0
TKT-100028,2025-09-19 09:07:00,2025-09-19 15:20:09,WiFi/Network,P2,Chat,Apps,373.17,480,0
TKT-100029,2025-04-17 14:28:00,2025-04-17 14:38:00,Email/Outlook,P3,Portal,Service Desk,10.0,1440,0
TKT-100030,2025-11-11 10:03:00,2025-11-11 19:11:27,Microsoft 365,P3,Portal,Service Desk,548.46,1440,0
TKT-100031,2024-05-14 15:32:00,2024-05-14 16:14:55,Password Reset,P3,Phone,Security,42.93,1440,0
TKT-100032,2025-10-31 17:44:00,2025-10-31 20:23:45,Account Lockout,P4,Email,Service Desk,159.76,2880,0
TKT-100033,2025-08-31 13:32:00,2025-08-31 19:31:42,Account Lockout,P4,Phone,Service Desk,359.71,2880,0
TKT-100034,2024-08-07 12:45:00,2024-08-07 16:47:49,Password Reset,P4,Portal,Service Desk,242.82,2880,0
TKT-100035,2024-04-08 17:51:00,2024-04-08 23:29:20,WiFi/Network,P3,Email,Apps,338.35,1440,0
TKT-100036,2024-05-07 11:41:00,2024-05-07 16:43:08,VPN,P2,Email,Network,302.15,480,0
TKT-100037,2024-10-14 14:22:00,2024-10-14 21:26:24,Access Request,P3,Chat,EU Support,424.4,1440,0
TKT-100038,2025-01-27 14:47:00,2025-01-27 16:15:48,VPN,P3,Phone,Service Desk,88.82,1440,0
TKT-100039,2025-02-11 16:57:00,2025-02-11 18:16:05,Email/Outlook,P3,Phone,Service Desk,79.1,1440,0
TKT-100040,2024-02-20 12:21:00,2024-02-20 13:30:44,Password Reset,P3,Phone,Apps,69.73,1440,0
TKT-100041,2024-09-20 15:43:00,2024-09-20 17:23:20,Account Lockout,P2,Phone,EU Support,100.34,480,0
TKT-100042,2024-12-15 13:54:00,2024-12-15 17:39:40,Access Request,P2,Chat,EU Support,225.68,480,0
TKT-100043,2024-12-11 08:52:00,2024-12-12 00:31:40,WiFi/Network,P4,Portal,Service Desk,939.68,2880,0
TKT-100044,2025-09-25 09:33:00,2025-09-25 11:56:04,Password Reset,P3,Email,Service Desk,143.08,1440,0
TKT-100045,2025-12-04 13:21:00,2025-12-04 18:49:48,Microsoft 365,P3,Chat,Service Desk,328.8,1440,0
TKT-100046,2024-08-07 08:48:00,2024-08-07 14:18:47,VPN,P3,Chat,Service Desk,330.78,1440,0
TKT-100047,2024-12-22 12:09:00,2024-12-23 01:43:14,Access Request,P3,Email,Service Desk,814.24,1440,0
TKT-100048,2024-01-16 09:54:00,2024-01-17 08:45:13,Access Request,P4,Email,Apps,1371.22,2880,0
TKT-100049,2025-06-28 13:50:00,2025-06-28 22:02:00,Hardware,P2,Chat,Apps,492.0,480,1
TKT-100050,2024-02-12 10:12:00,2024-02-12 19:37:11,Other,P4,Portal,Service Desk,565.19,2880,0
TKT-100051,2025-12-27 10:07:00,2025-12-27 13:18:53,WiFi/Network,P2,Email,Service Desk,191.89,480,0
TKT-100052,2024-07-14 14:49:00,2024-07-15 08:57:39,Email/Outlook,P4,Email,Network,1088.67,2880,0
TKT-100053,2025-11-06 10:08:00,2025-11-06 14:42:10,VPN,P3,Chat,Security,274.18,1440,0
TKT-100054,2024-04-05 11:31:00,2024-04-05 22:06:43,Hardware,P3,Phone,Service Desk,635.72,1440,0
TKT-100055,2024-09-29 13:19:00,2024-09-29 19:23:28,Other,P3,Email,Network,364.48,1440,0
TKT-100056,2025-01-30 17:18:00,2025-01-30 21:49:07,Password Reset,P3,Email,Apps,271.12,1440,0
TKT-100057,2024-03-09 12:24:00,2024-03-09 18:12:25,Password Reset,P4,Phone,Service Desk,348.42,2880,0
TKT-100058,2025-08-10 14:57:00,2025-08-11 00:37:53,Hardware,P3,Phone,Service Desk,580.89,1440,0
TKT-100059,2024-06-18 11:26:00,2024-06-18 12:00:46,Account Lockout,P3,Portal,EU Support,34.77,1440,0
TKT-100060,2025-05-14 10:06:00,2025-05-14 17:43:33,VPN,P3,Email,Security,457.56,1440,0
TKT-100061,2024-03-31 11:18:00,2024-03-31 18:08:10,Access Request,P3,Phone,Service Desk,410.17,1440,0
TKT-100062,2024-02-27 15:07:00,2024-02-28 00:33:51,Software Install,P3,Email,Network,566.85,1440,0
TKT-100063,2024-07-08 12:59:00,2024-07-08 15:19:07,Password Reset,P3,Chat,Security,140.12,1440,0
TKT-100064,2024-08-16 10:18:00,2024-08-16 11:57:41,Password Reset,P2,Email,Security,99.69,480,0
TKT-100065,2025-02-18 17:53:00,2025-02-18 20:38:10,Account Lockout,P4,Email,Service Desk,165.17,2880,0
TKT-100066,2024-01-08 10:35:00,2024-01-08 15:14:11,Printer,P3,Portal,Security,279.2,1440,0
TKT-100067,2024-02-10 12:26:00,2024-02-10 17:14:13,Software Install,P1,Portal,Service Desk,288.23,240,1
TKT-100068,2025-07-11 09:05:00,2025-07-11 20:33:52,Software Install,P4,Phone,Service Desk,688.87,2880,0
TKT-100069,2024-08-11 16:10:00,2024-08-11 18:26:36,Password Reset,P3,Email,EU Support,136.6,1440,0
TKT-100070,2024-04-08 09:20:00,2024-04-08 13:48:39,Microsoft 365,P2,Portal,Service Desk,268.65,480,0
TKT-100071,2024-03-18 10:00:00,2024-03-18 15:46:38,WiFi/Network,P4,Portal,Service Desk,346.64,2880,0
TKT-100072,2024-02-03 12:07:00,2024-02-04 00:32:49,VPN,P3,Phone,Network,745.82,1440,0
TKT-100073,2024-11-01 16:53:00,2024-11-01 17:03:00,Software Install,P3,Portal,EU Support,10.0,1440,0
TKT-100074,2024-08-16 14:01:00,2024-08-16 17:32:24,VPN,P1,Phone,Apps,211.41,240,0
TKT-100075,2024-11-30 12:33:00,2024-11-30 14:22:38,Account Lockout,P3,Portal,EU Support,109.64,1440,0
TKT-100076,2024-04-15 16:04:00,2024-04-15 18:12:43,Password Reset,P2,Email,Apps,128.72,480,0
TKT-100077,2024-03-09 16:52:00,2024-03-10 18:00:18,Printer,P4,Chat,Service Desk,1508.31,2880,0
TKT-100078,2024-04-20 11:54:00,2024-04-20 19:05:14,Access Request,P2,Portal,Apps,431.24,480,0
TKT-100079,2025-11-26 12:31:00,2025-11-26 17:38:33,VPN,P3,Phone,Security,307.56,1440,0
TKT-100080,2025-02-06 15:17:00,2025-02-06 19:04:52,Account Lockout,P4,Portal,Apps,227.87,2880,0
TKT-100081,2025-06-29 11:25:00,2025-06-29 14:27:10,Password Reset,P3,Email,Security,182.18,1440,0
TKT-100082,2024-08-26 13:42:00,2024-08-27 09:02:46,Printer,P4,Portal,Service Desk,1160.78,2880,0
TKT-100083,2025-12-19 13:55:00,2025-12-19 17:48:14,Microsoft 365,P2,Chat,Apps,233.24,480,0
TKT-100084,2024-12-30 09:58:00,2024-12-31 03:46:42,Access Request,P4,Email,Service Desk,1068.7,2880,0
TKT-100085,2025-05-22 09:57:00,2025-05-22 11:50:21,Printer,P2,Phone,Service Desk,113.35,480,0
TKT-100086,2024-01-28 10:56:00,2024-01-28 11:06:00,Email/Outlook,P4,Chat,Service Desk,10.0,2880,0
TKT-100087,2025-01-28 15:44:00,2025-01-29 00:44:21,Software Install,P3,Chat,Service Desk,540.35,1440,0
TKT-100088,2025-01-03 13:41:00,2025-01-03 15:36:32,Other,P2,Chat,Service Desk,115.55,480,0
TKT-100089,2024-11-10 16:36:00,2024-11-11 03:36:04,Other,P3,Phone,Service Desk,660.08,1440,0
TKT-100090,2025-03-21 11:30:00,2025-03-21 18:04:15,Microsoft 365,P3,Portal,Service Desk,394.26,1440,0
TKT-100091,2025-07-27 16:14:00,2025-07-27 22:11:18,VPN,P3,Email,Network,357.31,1440,0
TKT-100092,2025-02-13 11:18:00,2025-02-13 16:03:30,Password Reset,P4,Email,Network,285.51,2880,0
TKT-100093,2025-10-15 11:36:00,2025-10-15 21:06:37,Microsoft 365,P3,Email,Service Desk,570.62,1440,0
TKT-100094,2025-11-20 12:04:00,2025-11-20 22:42:01,Software Install,P3,Email,Apps,638.03,1440,0
TKT-100095,2025-07-03 12:29:00,2025-07-03 17:24:20,Microsoft 365,P3,Email,Service Desk,295.34,1440,0
TKT-100096,2025-05-27 15:21:00,2025-05-27 23:39:11,VPN,P3,Phone,Service Desk,498.19,1440,0
TKT-100097,2024-06-13 15:58:00,2024-06-14 00:25:38,Other,P3,Chat,EU Support,507.64,1440,0
TKT-100098,2025-02-05 15:38:00,2025-02-05 23:45:25,Email/Outlook,P3,Phone,Service Desk,487.43,1440,0
TKT-100099,2025-07-28 13:24:00,2025-07-28 17:32:04,VPN,P3,Portal,Service Desk,248.07,1440,0
TKT-100100,2024-04-13 13:50:00,2024-04-13 17:26:31,VPN,P2,Email,Apps,216.53,480,0
TKT-100101,2025-05-14 15:28:00,2025-05-14 20:24:21,Printer,P2,Phone,Service Desk,296.36,480,0
TKT-100102,2025-02-14 15:03:00,2025-02-14 21:14:48,Software Install,P3,Portal,Network,371.81,1440,0
TKT-100103,2024-06-07 11:44:00,2024-06-07 14:53:53,Software Install,P2,Phone,Service Desk,189.89,480,0
TKT-100104,2024-02-16 12:44:00,2024-02-16 19:58:25,Access Request,P3,Portal,Service Desk,434.42,1440,0
TKT-100105,2024-10-09 11:10:00,2024-10-09 16:25:25,VPN,P3,Phone,EU Support,315.43,1440,0
TKT-100106,2024-12-11 17:11:00,2024-12-12 02:46:43,WiFi/Network,P3,Portal,Service Desk,575.72,1440,0
TKT-100107,2024-12-21 16:04:00,2024-12-21 22:35:45,Microsoft 365,P4,Phone,Service Desk,391.76,2880,0
TKT-100108,2025-01-12 10:50:00,2025-01-13 06:01:21,Access Request,P4,Email,Service Desk,1151.36,2880,0
TKT-100109,2025-09-04 17:45:00,2025-09-04 23:41:39,Access Request,P4,Email,Apps,356.66,2880,0
TKT-100110,2025-01-05 13:20:00,2025-01-06 01:08:45,Software Install,P4,Portal,Security,708.76,2880,0
TKT-100111,2025-10-27 11:51:00,2025-10-27 12:35:43,Account Lockout,P3,Portal,Service Desk,44.73,1440,0
TKT-100112,2025-02-21 16:42:00,2025-02-22 04:05:44,Printer,P3,Chat,Network,683.74,1440,0
TKT-100113,2025-10-23 10:49:00,2025-10-23 14:46:46,WiFi/Network,P3,Phone,EU Support,237.78,1440,0
TKT-100114,2025-12-01 10:06:00,2025-12-01 14:07:03,Microsoft 365,P3,Portal,Service Desk,241.06,1440,0
TKT-100115,2025-12-23 11:29:00,2025-12-23 15:02:28,Password Reset,P3,Email,Service Desk,213.48,1440,0
TKT-100116,2024-04-22 12:37:00,2024-04-22 18:03:48,Hardware,P2,Phone,EU Support,326.81,480,0
TKT-100117,2025-10-04 12:09:00,2025-10-04 19:00:55,Microsoft 365,P2,Email,Service Desk,411.93,480,0
TKT-100118,2025-03-18 13:07:00,2025-03-18 17:18:05,VPN,P2,Email,Apps,251.1,480,0
TKT-100119,2024-09-20 09:31:00,2024-09-20 10:40:00,Hardware,P3,Chat,Network,69.02,1440,0
TKT-100120,2024-01-07 13:32:00,2024-01-07 17:44:27,VPN,P1,Email,Network,252.45,240,1
TKT-100121,2025-12-09 11:41:00,2025-12-09 14:28:34,Account Lockout,P4,Email,Network,167.58,2880,0
TKT-100122,2024-08-13 16:34:00,2024-08-13 22:48:27,Hardware,P3,Phone,Service Desk,374.46,1440,0
TKT-100123,2024-04-24 13:08:00,2024-04-24 18:48:14,VPN,P1,Email,EU Support,340.25,240,1
TKT-100124,2024-08-22 12:25:00,2024-08-22 16:58:58,VPN,P2,Email,Service Desk,273.98,480,0
TKT-100125,2024-01-17 12:37:00,2024-01-17 15:46:48,Software Install,P1,Email,EU Support,189.81,240,0
TKT-100126,2025-03-30 13:16:00,2025-03-30 14:55:37,Password Reset,P3,Phone,Service Desk,99.63,1440,0
TKT-100127,2024-12-28 11:52:00,2024-12-28 12:26:29,Password Reset,P3,Phone,Service Desk,34.49,1440,0
TKT-100128,2025-05-26 16:58:00,2025-05-27 06:26:06,Microsoft 365,P3,Portal,Apps,808.1,1440,0
TKT-100129,2025-02-09 14:32:00,2025-02-09 16:10:01,Access Request,P2,Phone,Service Desk,98.03,480,0
TKT-100130,2025-05-21 13:33:00,2025-05-21 15:44:45,Other,P3,Portal,Network,131.76,1440,0
TKT-100131,2025-10-02 12:42:00,2025-10-02 23:14:29,Software Install,P4,Chat,Service Desk,632.49,2880,0
TKT-100132,2024-01-17 17:54:00,2024-01-17 19:27:57,Password Reset,P2,Phone,EU Support,93.95,480,0
TKT-100133,2025-04-29 14:05:00,2025-04-29 21:00:43,Hardware,P2,Portal,Network,415.72,480,0
TKT-100134,2024-10-14 14:06:00,2024-10-14 21:10:21,Access Request,P3,Portal,Service Desk,424.35,1440,0
TKT-100135,2025-11-18 09:58:00,2025-11-19 01:11:23,Printer,P4,Phone,Service Desk,913.39,2880,0
TKT-100136,2025-02-05 13:38:00,2025-02-05 18:19:47,Email/Outlook,P3,Chat,Service Desk,281.79,1440,0
TKT-100137,2024-04-07 15:42:00,2024-04-07 19:03:44,Microsoft 365,P2,Portal,EU Support,201.75,480,0
TKT-100138,2025-05-11 13:21:00,2025-05-11 20:19:42,Password Reset,P4,Chat,EU Support,418.71,2880,0
TKT-100139,2025-03-25 08:41:00,2025-03-25 11:48:03,Password Reset,P4,Portal,Service Desk,187.06,2880,0
TKT-100140,2024-08-26 11:29:00,2024-08-26 15:12:13,VPN,P3,Email,Service Desk,223.22,1440,0
TKT-100141,2024-01-03 12:55:00,2024-01-03 18:51:40,Printer,P4,Phone,Security,356.67,2880,0
TKT-100142,2024-12-09 09:58:00,2024-12-09 19:59:14,Software Install,P4,Portal,Service Desk,601.25,2880,0
TKT-100143,2024-06-01 14:03:00,2024-06-02 05:47:28,Microsoft 365,P4,Email,Apps,944.48,2880,0
TKT-100144,2024-08-13 11:40:00,2024-08-13 16:37:47,WiFi/Network,P3,Email,Network,297.8,1440,0
TKT-100145,2024-02-16 10:08:00,2024-02-17 04:25:28,Access Request,P4,Portal,Service Desk,1097.47,2880,0
TKT-100146,2024-08-03 15:34:00,2024-08-03 20:49:41,Account Lockout,P3,Email,EU Support,315.69,1440,0
TKT-100147,2024-12-22 10:40:00,2024-12-22 12:23:55,Email/Outlook,P1,Chat,Service Desk,103.93,240,0
TKT-100148,2024-11-27 08:14:00,2024-11-27 16:09:52,Access Request,P4,Email,Apps,475.87,2880,0
TKT-100149,2024-02-07 10:04:00,2024-02-07 19:39:41,Microsoft 365,P3,Phone,Security,575.68,1440,0
TKT-100150,2024-11-18 11:33:00,2024-11-18 13:48:54,Password Reset,P3,Email,Network,135.91,1440,0
TKT-100151,2024-12-01 14:32:00,2024-12-01 17:41:14,Microsoft 365,P3,Email,Network,189.24,1440,0
TKT-100152,2025-11-23 14:26:00,2025-11-23 16:20:00,Password Reset,P2,Portal,Service Desk,114.01,480,0
TKT-100153,2025-10-31 16:17:00,2025-10-31 22:56:12,Hardware,P3,Email,Service Desk,399.21,1440,0
TKT-100154,2024-08-11 10:26:00,2024-08-11 20:52:55,Microsoft 365,P3,Portal,Service Desk,626.93,1440,0
TKT-100155,2024-12-30 15:05:00,2024-12-30 18:43:43,Access Request,P2,Phone,Service Desk,218.73,480,0
TKT-100156,2024-02-06 09:03:00,2024-02-07 04:41:51,WiFi/Network,P4,Phone,Service Desk,1178.85,2880,0
TKT-100157,2025-12-05 08:55:00,2025-12-05 21:51:34,WiFi/Network,P3,Chat,Service Desk,776.57,1440,0
TKT-100158,2025-07-23 08:33:00,2025-07-23 09:19:19,Email/Outlook,P2,Phone,Service Desk,46.32,480,0
TKT-100159,2024-06-05 11:31:00,2024-06-05 14:45:37,Access Request,P1,Email,Service Desk,194.63,240,0
TKT-100160,2025-01-16 09:27:00,2025-01-16 14:25:08,Other,P3,Portal,Service Desk,298.14,1440,0
TKT-100161,2025-05-21 12:59:00,2025-05-21 15:27:17,Account Lockout,P3,Chat,EU Support,148.29,1440,0
TKT-100162,2025-06-07 13:43:00,2025-06-07 22:19:48,WiFi/Network,P3,Phone,Service Desk,516.8,1440,0
TKT-100163,2024-11-04 09:26:00,2024-11-04 12:36:00,Other,P3,Portal,Service Desk,190.01,1440,0
TKT-100164,2025-11-23 16:57:00,2025-11-23 18:07:13,Password Reset,P3,Phone,Service Desk,70.22,1440,0
TKT-100165,2024-09-29 13:19:00,2024-09-29 18:44:48,Hardware,P3,Chat,Service Desk,325.81,1440,0
TKT-100166,2025-05-15 10:23:00,2025-05-15 16:35:26,Microsoft 365,P3,Portal,Service Desk,372.44,1440,0
TKT-100167,2024-11-15 11:46:00,2024-11-15 20:57:35,WiFi/Network,P3,Email,Apps,551.59,1440,0
TKT-100168,2024-04-11 16:10:00,2024-04-11 22:09:21,Other,P3,Portal,EU Support,359.35,1440,0
TKT-100169,2024-03-26 10:32:00,2024-03-26 10:42:00,Microsoft 365,P4,Phone,Service Desk,10.0,2880,0
TKT-100170,2025-08-11 09:21:00,2025-08-11 12:30:53,Software Install,P2,Phone,Service Desk,189.89,480,0
TKT-100171,2024-11-12 14:05:00,2024-11-12 14:34:22,Password Reset,P3,Portal,Service Desk,29.37,1440,0
TKT-100172,2025-12-16 16:49:00,2025-12-16 21:48:37,Access Request,P3,Portal,Service Desk,299.63,1440,0
TKT-100173,2025-04-03 16:03:00,2025-04-04 06:52:09,Software Install,P4,Portal,EU Support,889.15,2880,0
TKT-100174,2025-11-30 14:10:00,2025-12-02 02:04:41,Software Install,P4,Email,Service Desk,2154.69,2880,0
TKT-100175,2024-08-30 10:54:00,2024-08-31 09:43:14,Software Install,P4,Portal,Service Desk,1369.24,2880,0
TKT-100176,2024-10-14 12:17:00,2024-10-14 15:45:11,Access Request,P3,Portal,EU Support,208.19,1440,0
TKT-100177,2024-02-04 11:53:00,2024-02-04 16:17:32,Email/Outlook,P2,Portal,EU Support,264.54,480,0
TKT-100178,2025-02-07 14:27:00,2025-02-07 20:08:01,Other,P3,Email,Service Desk,341.03,1440,0
TKT-100179,2025-07-31 13:35:00,2025-07-31 16:31:25,Password Reset,P3,Email,Service Desk,176.43,1440,0
TKT-100180,2024-09-24 11:17:00,2024-09-24 14:02:36,Password Reset,P4,Portal,EU Support,165.61,2880,0
TKT-100181,2025-04-22 10:43:00,2025-04-22 21:51:51,Other,P4,Portal,Service Desk,668.87,2880,0
TKT-100182,2025-07-06 11:59:00,2025-07-06 18:56:59,Password Reset,P4,Email,EU Support,418.0,2880,0
TKT-100183,2024-05-24 11:56:00,2024-05-24 13:10:41,Account Lockout,P2,Portal,EU Support,74.7,480,0
TKT-100184,2025-04-04 09:44:00,2025-04-04 12:52:44,WiFi/Network,P2,Email,Service Desk,188.75,480,0
TKT-100185,2025-08-14 13:09:00,2025-08-14 18:42:02,Software Install,P4,Email,EU Support,333.04,2880,0
TKT-100186,2025-05-27 10:53:00,2025-05-27 22:20:46,Email/Outlook,P4,Portal,EU Support,687.77,2880,0
TKT-100187,2025-07-09 12:46:00,2025-07-09 18:17:16,VPN,P3,Email,Security,331.28,1440,0
TKT-100188,2025-10-03 09:36:00,2025-10-03 15:34:22,VPN,P3,Chat,EU Support,358.38,1440,0
TKT-100189,2025-11-21 08:41:00,2025-11-21 10:33:44,Hardware,P3,Phone,Service Desk,112.75,1440,0
TKT-100190,2025-03-02 13:43:00,2025-03-02 21:32:56,Microsoft 365,P3,Portal,Service Desk,469.94,1440,0
TKT-100191,2024-01-08 17:00:00,2024-01-08 23:26:36,Hardware,P4,Email,EU Support,386.61,2880,0
TKT-100192,2024-04-28 16:09:00,2024-04-28 21:39:13,Password Reset,P4,Portal,Service Desk,330.23,2880,0
TKT-100193,2024-12-10 14:32:00,2024-12-10 17:09:52,Password Reset,P3,Portal,Service Desk,157.87,1440,0
TKT-100194,2024-12-26 09:27:00,2024-12-26 19:03:36,Other,P4,Email,Service Desk,576.6,2880,0
TKT-100195,2024-03-29 16:08:00,2024-03-30 00:46:02,Printer,P3,Portal,Service Desk,518.04,1440,0
TKT-100196,2024-04-11 11:37:00,2024-04-12 04:08:02,Access Request,P4,Chat,Service Desk,991.04,2880,0
TKT-100197,2024-12-30 15:23:00,2024-12-31 03:02:35,Hardware,P3,Chat,Service Desk,699.58,1440,0
TKT-100198,2025-12-11 13:18:00,2025-12-11 14:43:17,Account Lockout,P4,Email,Network,85.29,2880,0
TKT-100199,2024-04-11 09:34:00,2024-04-12 09:27:41,VPN,P4,Email,Apps,1433.69,2880,0
TKT-100200,2024-03-25 16:47:00,2024-03-25 22:20:00,Email/Outlook,P3,Portal,Security,333.0,1440,0
TKT-100201,2024-02-12 15:05:00,2024-02-12 21:05:57,WiFi/Network,P2,Email,Service Desk,360.96,480,0
TKT-100202,2025-09-10 08:46:00,2025-09-10 16:37:01,Hardware,P3,Email,Service Desk,471.02,1440,0
TKT-100203,2024-11-29 12:47:00,2024-11-29 18:57:24,Access Request,P3,Portal,Service Desk,370.4,1440,0
TKT-100204,2025-10-09 11:35:00,2025-10-09 14:05:41,Microsoft 365,P1,Portal,Network,150.69,240,0
TKT-100205,2024-04-17 10:12:00,2024-04-17 15:34:28,Printer,P3,Portal,Apps,322.47,1440,0
TKT-100206,2024-02-05 12:53:00,2024-02-05 19:15:32,Other,P3,Phone,Service Desk,382.54,1440,0
TKT-100207,2024-05-20 14:53:00,2024-05-21 14:35:18,Hardware,P4,Chat,Service Desk,1422.31,2880,0
TKT-100208,2025-01-12 12:41:00,2025-01-12 23:06:31,WiFi/Network,P3,Portal,Service Desk,625.53,1440,0
TKT-100209,2024-02-19 15:35:00,2024-02-19 19:01:49,Software Install,P2,Email,Security,206.83,480,0
TKT-100210,2025-03-14 13:46:00,2025-03-15 03:10:14,Email/Outlook,P3,Portal,Apps,804.25,1440,0
TKT-100211,2025-10-23 08:14:00,2025-10-23 14:35:31,Account Lockout,P4,Email,Service Desk,381.52,2880,0
TKT-100212,2024-03-17 13:24:00,2024-03-18 00:22:41,Microsoft 365,P4,Chat,Service Desk,658.7,2880,0
TKT-100213,2025-04-03 17:59:00,2025-04-03 21:04:48,Password Reset,P3,Chat,Security,185.81,1440,0
TKT-100214,2025-09-12 09:39:00,2025-09-12 10:40:55,Microsoft 365,P3,Phone,EU Support,61.92,1440,0
TKT-100215,2024-03-10 12:03:00,2024-03-10 13:50:09,Account Lockout,P3,Portal,Apps,107.16,1440,0
TKT-100216,2024-06-08 13:37:00,2024-06-08 14:43:56,Password Reset,P4,Email,Service Desk,66.94,2880,0
TKT-100217,2024-12-07 14:22:00,2024-12-07 16:46:00,Password Reset,P3,Portal,Network,144.01,1440,0
TKT-100218,2024-04-25 09:43:00,2024-04-25 14:45:29,Access Request,P2,Chat,EU Support,302.5,480,0
TKT-100219,2025-10-31 12:15:00,2025-10-31 22:33:24,Access Request,P4,Phone,Service Desk,618.41,2880,0
TKT-100220,2025-09-18 09:04:00,2025-09-18 17:23:09,Access Request,P3,Phone,Apps,499.16,1440,0
TKT-100221,2024-03-24 13:17:00,2024-03-24 15:53:09,Account Lockout,P3,Phone,Service Desk,156.16,1440,0
TKT-100222,2025-05-14 14:13:00,2025-05-14 16:44:47,Email/Outlook,P3,Portal,Service Desk,151.79,1440,0
TKT-100223,2025-03-24 11:51:00,2025-03-25 08:15:44,Access Request,P4,Phone,Service Desk,1224.75,2880,0
TKT-100224,2024-11-11 16:41:00,2024-11-12 06:30:59,WiFi/Network,P3,Portal,EU Support,830.0,1440,0
TKT-100225,2024-06-06 16:29:00,2024-06-07 00:13:03,Other,P3,Chat,EU Support,464.06,1440,0
TKT-100226,2025-02-02 12:01:00,2025-02-02 19:13:04,Access Request,P3,Portal,Network,432.07,1440,0
TKT-100227,2024-09-22 15:24:00,2024-09-22 16:34:45,Password Reset,P3,Email,Apps,70.75,1440,0
TKT-100228,2024-12-01 14:51:00,2024-12-01 21:48:10,Email/Outlook,P4,Portal,Service Desk,417.18,2880,0
TKT-100229,2025-01-26 13:03:00,2025-01-26 13:54:07,Software Install,P3,Portal,Network,51.13,1440,0
TKT-100230,2025-06-15 12:59:00,2025-06-15 16:45:19,Software Install,P4,Portal,Apps,226.33,2880,0
TKT-100231,2025-05-31 14:09:00,2025-06-01 01:33:37,Software Install,P3,Email,EU Support,684.63,1440,0
TKT-100232,2025-04-07 17:18:00,2025-04-07 23:41:27,Microsoft 365,P2,Email,Network,383.45,480,0
TKT-100233,2025-08-31 13:38:00,2025-08-31 16:57:04,Access Request,P2,Email,Security,199.07,480,0
